"drink_id","drink_name","base","temperature","size","milk","syrup","sweetness_level","espresso_shots","caffeine_level","calories","price","dietary_tags","flavor_profile"
"DRK-0039","Tall Iced Classic No Milk Refresher with Cinnamon Dolce","Refresher","iced","tall","none","cinnamon dolce","classic","0","low","170","5.45","dairy-free,vegan,nut-free","bright fruit, no milk, warm cinnamon, balanced sweet"
"DRK-0040","Tall Hot Extra No Milk Herbal Tea with Cinnamon Dolce","Herbal Tea","hot","tall","none","cinnamon dolce","extra","0","none","118","4.35","dairy-free,vegan,nut-free,low-calorie","calm botanical, no milk, warm cinnamon, dessert sweet"
"DRK-0041","Tall Iced Extra Nonfat Latte with Peppermint","Latte","iced","tall","nonfat","peppermint","extra","2","medium","203","5.35","vegetarian,low-fat,nut-free","creamy espresso, light dairy, cool mint, dessert sweet"
"DRK-0042","Tall Iced Extra Nonfat Cold Brew with Peppermint","Cold Brew","iced","tall","nonfat","peppermint","extra","0","high","93","5.55","vegetarian,low-fat,nut-free,low-calorie","bold smooth coffee, light dairy, cool mint, dessert sweet"
"DRK-0043","Grande Iced Extra Nonfat Mocha with Peppermint","Mocha","iced","grande","nonfat","peppermint","extra","2","medium","348","6.5","vegetarian,low-fat,nut-free","chocolate espresso, light dairy, cool mint, dessert sweet"
"DRK-0044","Grande Iced Extra Nonfat Matcha Latte with Peppermint","Matcha Latte","iced","grande","nonfat","peppermint","extra","0","medium","298","6.4","vegetarian,low-fat,nut-free","earthy green tea, light dairy, cool mint, dessert sweet"
"DRK-0045","Grande Iced Extra Oat Chai Latte with Peppermint","Chai Latte","iced","grande","oat","peppermint","extra","0","medium","358","6.8","dairy-free,vegan,nut-free","spiced black tea, toasty oat, cool mint, dessert sweet"
"DRK-0046","Grande Iced Extra Oat Americano with Raspberry","Americano","iced","grande","oat","raspberry","extra","2","medium","189","5.8","dairy-free,vegan,nut-free","clean espresso, toasty oat, berry, dessert sweet"
"DRK-0047","Grande Iced Extra Oat Cappuccino with Raspberry","Cappuccino","iced","grande","oat","raspberry","extra","2","medium","284","6.5","dairy-free,vegan,nut-free","foamy espresso, toasty oat, berry, dessert sweet"
"DRK-0048","Grande Blended Extra Oat Frappuccino with Raspberry","Frappuccino","blended","grande","oat","raspberry","extra","0","low","454","7.8","dairy-free,vegan,nut-free","sweet blended coffee, toasty oat, berry, dessert sweet"
"DRK-0049","Grande Iced Extra Oat Refresher with Raspberry","Refresher","iced","grande","oat","raspberry","extra","0","low","264","6.7","dairy-free,vegan,nut-free","bright fruit, toasty oat, berry, dessert sweet"
"DRK-0050","Venti Iced Extra Oat Herbal Tea with Raspberry","Herbal Tea","iced","venti","oat","raspberry","extra","0","none","229","6.05","dairy-free,vegan,nut-free","calm botanical, toasty oat, berry, dessert sweet"
"DRK-0051","Venti Blended Extra Oat Latte with No Syrup","Latte","blended","venti","oat","none","extra","3","medium","255","6.45","dairy-free,vegan,nut-free,no-added-sugar","creamy espresso, toasty oat, unsweetened, dessert sweet"
"DRK-0052","Venti Blended Extra Oat Cold Brew with No Syrup","Cold Brew","blended","venti","oat","none","extra","0","high","145","6.65","dairy-free,vegan,nut-free,no-added-sugar","bold smooth coffee, toasty oat, unsweetened, dessert sweet"
"DRK-0053","Venti Blended Unsweetened Oat Mocha with No Syrup","Mocha","blended","venti","oat","none","unsweetened","3","medium","355","7.05","dairy-free,vegan,nut-free,no-added-sugar","chocolate espresso, toasty oat, unsweetened, dry"
"DRK-0054","Venti Blended Unsweetened Oat Matcha Latte with No Syrup","Matcha Latte","blended","venti","oat","none","unsweetened","0","medium","305","6.95","dairy-free,vegan,nut-free,no-added-sugar","earthy green tea, toasty oat, unsweetened, dry"
"DRK-0055","Venti Blended Unsweetened Oat Chai Latte with No Syrup","Chai Latte","blended","venti","oat","none","unsweetened","0","medium","315","6.65","dairy-free,vegan,nut-free,no-added-sugar","spiced black tea, toasty oat, unsweetened, dry"
"DRK-0056","Venti Blended Unsweetened No Milk Americano with Vanilla","Americano","blended","venti","none","vanilla","unsweetened","3","medium","105","5.55","dairy-free,vegan,nut-free,low-calorie,no-added-sugar","clean espresso, no milk, vanilla, dry"
"DRK-0057","Short Hot Unsweetened Almond Cappuccino with Vanilla","Cappuccino","hot","short","almond","vanilla","unsweetened","2","medium","55","5.45","dairy-free,vegan,low-calorie,no-added-sugar","foamy espresso, nutty almond, vanilla, dry"
"DRK-0058","Short Blended Unsweetened Almond Frappuccino with Vanilla","Frappuccino","blended","short","almond","vanilla","unsweetened","0","low","225","6.75","dairy-free,vegan,no-added-sugar","sweet blended coffee, nutty almond, vanilla, dry"
"DRK-0059","Short Blended Unsweetened No Milk Refresher with Vanilla","Refresher","blended","short","none","vanilla","unsweetened","0","low","55","4.95","dairy-free,vegan,nut-free,low-calorie,no-added-sugar","bright fruit, no milk, vanilla, dry"
"DRK-0060","Short Iced Unsweetened No Milk Herbal Tea with Vanilla","Herbal Tea","iced","short","none","vanilla","unsweetened","0","none","5","3.85","dairy-free,vegan,nut-free,low-calorie,no-added-sugar","calm botanical, no milk, vanilla, dry"
"DRK-0061","Short Hot Unsweetened Almond Latte with Caramel","Latte","hot","short","almond","caramel","unsweetened","2","medium","75","5.55","dairy-free,vegan,low-calorie,no-added-sugar","creamy espresso, nutty almond, buttery caramel, dry"
"DRK-0062","Short Iced Unsweetened Almond Cold Brew with Caramel","Cold Brew","iced","short","almond","caramel","unsweetened","0","high","5","5.75","dairy-free,vegan,low-calorie,no-added-sugar","bold smooth coffee, nutty almond, buttery caramel, dry"
"DRK-0063","Short Hot Unsweetened Almond Mocha with Caramel","Mocha","hot","short","almond","caramel","unsweetened","2","medium","175","6.15","dairy-free,vegan,no-added-sugar","chocolate espresso, nutty almond, buttery caramel, dry"
"DRK-0064","Tall Hot Unsweetened Almond Matcha Latte with Caramel","Matcha Latte","hot","tall","almond","caramel","unsweetened","0","medium","160","6.55","dairy-free,vegan,no-added-sugar","earthy green tea, nutty almond, buttery caramel, dry"
"DRK-0065","Tall Hot Unsweetened Almond Chai Latte with Caramel","Chai Latte","hot","tall","almond","caramel","unsweetened","0","medium","170","6.25","dairy-free,vegan,no-added-sugar","spiced black tea, nutty almond, buttery caramel, dry"
"DRK-0066","Tall Hot Light No Milk Americano with Hazelnut","Americano","hot","tall","none","hazelnut","light","2","medium","50","4.55","dairy-free,vegan,nut-free,low-calorie","clean espresso, no milk, toasted hazelnut, lightly sweet"
"DRK-0067","Tall Hot Light Soy Cappuccino with Hazelnut","Cappuccino","hot","tall","soy","hazelnut","light","2","medium","160","5.95","dairy-free,vegan,nut-free","foamy espresso, smooth soy, toasted hazelnut, lightly sweet"
"DRK-0068","Tall Blended Light Soy Frappuccino with Hazelnut","Frappuccino","blended","tall","soy","hazelnut","light","0","low","330","7.25","dairy-free,vegan,nut-free","sweet blended coffee, smooth soy, toasted hazelnut, lightly sweet"
"DRK-0069","Tall Iced Light No Milk Refresher with Raspberry","Refresher","iced","tall","none","raspberry","light","0","low","125","5.45","dairy-free,vegan,nut-free","bright fruit, no milk, berry, lightly sweet"
"DRK-0070","Tall Hot Light No Milk Herbal Tea with Hazelnut","Herbal Tea","hot","tall","none","hazelnut","light","0","none","45","4.35","dairy-free,vegan,nut-free,low-calorie","calm botanical, no milk, toasted hazelnut, lightly sweet"
"DRK-0071","Grande Iced Light Soy Latte with Mocha","Latte","iced","grande","soy","mocha","light","2","medium","235","6.6","dairy-free,vegan,nut-free","creamy espresso, smooth soy, cocoa, lightly sweet"
"DRK-0072","Grande Iced Light Soy Cold Brew with Mocha","Cold Brew","iced","grande","soy","mocha","light","0","high","125","6.8","dairy-free,vegan,nut-free","bold smooth coffee, smooth soy, cocoa, lightly sweet"
"DRK-0073","Grande Iced Light Soy Mocha with Mocha","Mocha","iced","grande","soy","mocha","light","2","medium","335","7.2","dairy-free,vegan,nut-free","chocolate espresso, smooth soy, cocoa, lightly sweet"
"DRK-0074","Grande Iced Light Soy Matcha Latte with Mocha","Matcha Latte","iced","grande","soy","mocha","light","0","medium","285","7.1","dairy-free,vegan,nut-free","earthy green tea, smooth soy, cocoa, lightly sweet"
"DRK-0075","Grande Iced Light Soy Chai Latte with Mocha","Chai Latte","iced","grande","soy","mocha","light","0","medium","295","6.8","dairy-free,vegan,nut-free","spiced black tea, smooth soy, cocoa, lightly sweet"
"DRK-0076","Grande Iced Light No Milk Americano with White Mocha","Americano","iced","grande","none","white mocha","light","2","medium","115","5.2","dairy-free,vegan,nut-free,low-calorie","clean espresso, no milk, white chocolate, lightly sweet"
"DRK-0077","Grande Iced Light Soy Cappuccino with White Mocha","Cappuccino","iced","grande","soy","white mocha","light","2","medium","225","6.6","dairy-free,vegan,nut-free","foamy espresso, smooth soy, white chocolate, lightly sweet"
"DRK-0078","Venti Blended Light Coconut Frappuccino with White Mocha","Frappuccino","blended","venti","coconut","white mocha","light","0","low","445","8.35","dairy-free,vegan","sweet blended coffee, tropical coconut, white chocolate, lightly sweet"
"DRK-0079","Venti Iced Classic Coconut Refresher with Raspberry","Refresher","iced","venti","coconut","raspberry","classic","0","low","270","7.15","dairy-free,vegan","bright fruit, tropical coconut, berry, balanced sweet"
"DRK-0080","Venti Iced Classic Coconut Herbal Tea with No Syrup","Herbal Tea","iced","venti","coconut","none","classic","0","none","120","5.45","dairy-free,vegan,low-calorie,no-added-sugar","calm botanical, tropical coconut, unsweetened, balanced sweet"
"DRK-0081","Venti Blended Classic Coconut Latte with Brown Sugar","Latte","blended","venti","coconut","brown sugar","classic","3","medium","315","7.05","dairy-free,vegan","creamy espresso, tropical coconut, brown sugar, balanced sweet"
"DRK-0082","Venti Blended Classic Coconut Cold Brew with Brown Sugar","Cold Brew","blended","venti","coconut","brown sugar","classic","0","high","205","7.25","dairy-free,vegan","bold smooth coffee, tropical coconut, brown sugar, balanced sweet"
"DRK-0083","Venti Blended Classic Coconut Mocha with Brown Sugar","Mocha","blended","venti","coconut","brown sugar","classic","3","medium","415","7.65","dairy-free,vegan","chocolate espresso, tropical coconut, brown sugar, balanced sweet"
"DRK-0084","Venti Blended Classic Coconut Matcha Latte with Brown Sugar","Matcha Latte","blended","venti","coconut","brown sugar","classic","0","medium","365","7.55","dairy-free,vegan","earthy green tea, tropical coconut, brown sugar, balanced sweet"
"DRK-0085","Short Blended Classic Coconut Chai Latte with Brown Sugar","Chai Latte","blended","short","coconut","brown sugar","classic","0","medium","250","5.75","dairy-free,vegan","spiced black tea, tropical coconut, brown sugar, balanced sweet"
"DRK-0086","Short Blended Classic Coconut Americano with Cinnamon Dolce","Americano","blended","short","coconut","cinnamon dolce","classic","2","medium","80","4.75","dairy-free,vegan,low-calorie","clean espresso, tropical coconut, warm cinnamon, balanced sweet"
"DRK-0087","Short Hot Classic Coconut Cappuccino with Cinnamon Dolce","Cappuccino","hot","short","coconut","cinnamon dolce","classic","2","medium","175","5.45","dairy-free,vegan","foamy espresso, tropical coconut, warm cinnamon, balanced sweet"
"DRK-0088","Short Blended Classic Coconut Frappuccino with Cinnamon Dolce","Frappuccino","blended","short","coconut","cinnamon dolce","classic","0","low","345","6.75","dairy-free,vegan","sweet blended coffee, tropical coconut, warm cinnamon, balanced sweet"
"DRK-0089","Short Blended Classic No Milk Refresher with Cinnamon Dolce","Refresher","blended","short","none","cinnamon dolce","classic","0","low","135","4.95","dairy-free,vegan,nut-free","bright fruit, no milk, warm cinnamon, balanced sweet"
"DRK-0090","Short Iced Classic No Milk Herbal Tea with Cinnamon Dolce","Herbal Tea","iced","short","none","cinnamon dolce","classic","0","none","55","3.85","dairy-free,vegan,nut-free,low-calorie","calm botanical, no milk, warm cinnamon, balanced sweet"
"DRK-0091","Short Hot Classic Coconut Latte with Peppermint","Latte","hot","short","coconut","peppermint","classic","2","medium","180","5.55","dairy-free,vegan","creamy espresso, tropical coconut, cool mint, balanced sweet"
"DRK-0092","Tall Iced Extra No Milk Cold Brew with Peppermint","Cold Brew","iced","tall","none","peppermint","extra","0","high","108","5.55","dairy-free,vegan,nut-free,low-calorie","bold smooth coffee, no milk, cool mint, dessert sweet"
"DRK-0093","Tall Hot Extra 2% Mocha with Peppermint","Mocha","hot","tall","2%","peppermint","extra","2","medium","343","5.95","vegetarian,nut-free","chocolate espresso, classic dairy, cool mint, dessert sweet"
"DRK-0094","Tall Hot Extra Nonfat Matcha Latte with Peppermint","Matcha Latte","hot","tall","nonfat","peppermint","extra","0","medium","253","5.85","vegetarian,low-fat,nut-free","earthy green tea, light dairy, cool mint, dessert sweet"
"DRK-0095","Tall Hot Extra Oat Chai Latte with Peppermint","Chai Latte","hot","tall","oat","peppermint","extra","0","medium","313","6.25","dairy-free,vegan,nut-free","spiced black tea, toasty oat, cool mint, dessert sweet"
"DRK-0096","Tall Hot Extra No Milk Americano with Raspberry","Americano","hot","tall","none","raspberry","extra","2","medium","109","4.55","dairy-free,vegan,nut-free,low-calorie","clean espresso, no milk, berry, dessert sweet"
"DRK-0097","Tall Hot Extra Soy Cappuccino with Raspberry","Cappuccino","hot","tall","soy","raspberry","extra","2","medium","219","5.95","dairy-free,vegan,nut-free","foamy espresso, smooth soy, berry, dessert sweet"
"DRK-0098","Tall Blended Extra Coconut Frappuccino with Raspberry","Frappuccino","blended","tall","coconut","raspberry","extra","0","low","394","7.25","dairy-free,vegan","sweet blended coffee, tropical coconut, berry, dessert sweet"
"DRK-0099","Grande Iced Extra No Milk Refresher with Raspberry","Refresher","iced","grande","none","raspberry","extra","0","low","229","6","dairy-free,vegan,nut-free","bright fruit, no milk, berry, dessert sweet"
"DRK-0100","Grande Hot Extra No Milk Herbal Tea with Raspberry","Herbal Tea","hot","grande","none","raspberry","extra","0","none","149","4.9","dairy-free,vegan,nut-free","calm botanical, no milk, berry, dessert sweet"
"DRK-0101","Grande Iced Extra Whole Latte with No Syrup","Latte","iced","grande","whole","none","extra","2","medium","220","5.3","vegetarian,nut-free,no-added-sugar","creamy espresso, rich dairy, unsweetened, dessert sweet"
"DRK-0102","Grande Iced Extra Whole Cold Brew with No Syrup","Cold Brew","iced","grande","whole","none","extra","0","high","110","5.5","vegetarian,nut-free,low-calorie,no-added-sugar","bold smooth coffee, rich dairy, unsweetened, dessert sweet"
"DRK-0103","Grande Iced Extra Whole Mocha with No Syrup","Mocha","iced","grande","whole","none","extra","2","medium","320","5.9","vegetarian,nut-free,no-added-sugar","chocolate espresso, rich dairy, unsweetened, dessert sweet"
"DRK-0104","Grande Iced Extra Whole Matcha Latte with No Syrup","Matcha Latte","iced","grande","whole","none","extra","0","medium","270","5.8","vegetarian,nut-free,no-added-sugar","earthy green tea, rich dairy, unsweetened, dessert sweet"
"DRK-0105","Grande Iced Unsweetened Whole Chai Latte with No Syrup","Chai Latte","iced","grande","whole","none","unsweetened","0","medium","280","5.5","vegetarian,nut-free,no-added-sugar","spiced black tea, rich dairy, unsweetened, dry"
"DRK-0106","Venti Iced Unsweetened No Milk Americano with Vanilla","Americano","iced","venti","none","vanilla","unsweetened","3","medium","105","5.55","dairy-free,vegan,nut-free,low-calorie,no-added-sugar","clean espresso, no milk, vanilla, dry"
"DRK-0107","Venti Iced Unsweetened Whole Cappuccino with Vanilla","Cappuccino","iced","venti","whole","vanilla","unsweetened","3","medium","245","6.25","vegetarian,nut-free,no-added-sugar","foamy espresso, rich dairy, vanilla, dry"
"DRK-0108","Venti Blended Unsweetened Whole Frappuccino with Vanilla","Frappuccino","blended","venti","whole","vanilla","unsweetened","0","low","415","7.55","vegetarian,nut-free,no-added-sugar","sweet blended coffee, rich dairy, vanilla, dry"
"DRK-0109","Venti Iced Unsweetened No Milk Refresher with Vanilla","Refresher","iced","venti","none","vanilla","unsweetened","0","low","180","6.45","dairy-free,vegan,nut-free,no-added-sugar","bright fruit, no milk, vanilla, dry"
"DRK-0110","Venti Iced Unsweetened No Milk Herbal Tea with Vanilla","Herbal Tea","iced","venti","none","vanilla","unsweetened","0","none","100","5.35","dairy-free,vegan,nut-free,low-calorie,no-added-sugar","calm botanical, no milk, vanilla, dry"
"DRK-0111","Venti Blended Unsweetened 2% Latte with Caramel","Latte","blended","venti","2%","caramel","unsweetened","3","medium","245","6.35","vegetarian,nut-free,no-added-sugar","creamy espresso, classic dairy, buttery caramel, dry"
"DRK-0112","Venti Blended Unsweetened 2% Cold Brew with Caramel","Cold Brew","blended","venti","2%","caramel","unsweetened","0","high","135","6.55","vegetarian,nut-free,no-added-sugar","bold smooth coffee, classic dairy, buttery caramel, dry"
"DRK-0113","Short Blended Unsweetened 2% Mocha with Caramel","Mocha","blended","short","2%","caramel","unsweetened","2","medium","220","5.45","vegetarian,nut-free,no-added-sugar","chocolate espresso, classic dairy, buttery caramel, dry"
"DRK-0114","Short Blended Unsweetened 2% Matcha Latte with Caramel","Matcha Latte","blended","short","2%","caramel","unsweetened","0","medium","170","5.35","vegetarian,nut-free,no-added-sugar","earthy green tea, classic dairy, buttery caramel, dry"
"DRK-0115","Short Blended Unsweetened 2% Chai Latte with Caramel","Chai Latte","blended","short","2%","caramel","unsweetened","0","medium","180","5.05","vegetarian,nut-free,no-added-sugar","spiced black tea, classic dairy, buttery caramel, dry"
"DRK-0116","Short Blended Unsweetened No Milk Americano with Hazelnut","Americano","blended","short","none","hazelnut","unsweetened","2","medium","5","4.05","dairy-free,vegan,nut-free,low-calorie,no-added-sugar","clean espresso, no milk, toasted hazelnut, dry"
"DRK-0117","Short Hot Unsweetened 2% Cappuccino with Hazelnut","Cappuccino","hot","short","2%","hazelnut","unsweetened","2","medium","100","4.75","vegetarian,nut-free,low-calorie,no-added-sugar","foamy espresso, classic dairy, toasted hazelnut, dry"
"DRK-0118","Short Blended Light 2% Frappuccino with Hazelnut","Frappuccino","blended","short","2%","hazelnut","light","0","low","305","6.05","vegetarian,nut-free","sweet blended coffee, classic dairy, toasted hazelnut, lightly sweet"
"DRK-0119","Short Blended Light No Milk Refresher with Raspberry","Refresher","blended","short","none","raspberry","light","0","low","90","4.95","dairy-free,vegan,nut-free,low-calorie","bright fruit, no milk, berry, lightly sweet"
"DRK-0120","Tall Iced Light No Milk Herbal Tea with Hazelnut","Herbal Tea","iced","tall","none","hazelnut","light","0","none","45","4.35","dairy-free,vegan,nut-free,low-calorie","calm botanical, no milk, toasted hazelnut, lightly sweet"
"DRK-0121","Tall Hot Light 2% Latte with Mocha","Latte","hot","tall","2%","mocha","light","2","medium","200","5.35","vegetarian,nut-free","creamy espresso, classic dairy, cocoa, lightly sweet"
"DRK-0122","Tall Iced Light Nonfat Cold Brew with Mocha","Cold Brew","iced","tall","nonfat","mocha","light","0","high","50","5.55","vegetarian,low-fat,nut-free,low-calorie","bold smooth coffee, light dairy, cocoa, lightly sweet"
"DRK-0123","Tall Hot Light Nonfat Mocha with Mocha","Mocha","hot","tall","nonfat","mocha","light","2","medium","260","5.95","vegetarian,low-fat,nut-free","chocolate espresso, light dairy, cocoa, lightly sweet"
"DRK-0124","Tall Hot Light Nonfat Matcha Latte with Mocha","Matcha Latte","hot","tall","nonfat","mocha","light","0","medium","210","5.85","vegetarian,low-fat,nut-free","earthy green tea, light dairy, cocoa, lightly sweet"
"DRK-0125","Tall Hot Light Nonfat Chai Latte with Mocha","Chai Latte","hot","tall","nonfat","mocha","light","0","medium","220","5.55","vegetarian,low-fat,nut-free","spiced black tea, light dairy, cocoa, lightly sweet"
